Title - skipped when loaded
5.757 21.675 -47.561 14.370 185.396 2.144
5.856 13.572 -20.376 -4.226 201.543 10.395
5.955 13.116 -25.601 -15.701 178.988 -2.673
6.054 3.932 -26.032 8.322 196.921 2.270
6.153 -0.304 -30.465 4.219 180.482 -0.104
6.252 21.466 -42.148 -8.505 184.305 7.982
6.351 8.974 -25.090 -14.664 188.144 7.855
6.450 19.540 -52.942 14.987 196.845 -8.244
6.550 23.060 -45.397 -18.976 193.548 -5.973
6.649 36.718 -22.377 4.167 186.593 5.639
6.748 19.839 -38.278 -6.016 193.739 5.045
6.847 10.544 -32.863 6.499 185.499 1.914
6.946 23.919 -35.730 -3.501 193.360 -11.982
7.045 17.418 -35.488 13.709 189.104 6.829
7.144 35.751 -39.125 -7.371 203.904 8.322
7.243 26.334 -28.082 7.165 215.396 1.398
7.342 7.020 -36.308 -1.824 200.602 16.221
7.441 32.731 -30.894 2.796 232.230 -8.778
7.541 19.919 -34.852 28.910 200.775 14.055
7.640 29.764 -29.568 19.590 188.683 2.720
7.739 33.349 -26.798 0.049 223.847 16.673
7.838 29.552 -31.095 -7.886 211.685 15.298
7.937 45.380 -55.467 -9.224 207.739 -19.170
8.036 28.967 -37.880 -1.996 224.803 11.965
8.135 32.784 -50.555 1.689 201.555 5.025
8.234 46.347 -47.162 16.491 224.467 -5.959
8.333 48.492 -45.246 -20.716 229.046 13.773
8.432 30.255 -57.067 -18.718 211.816 7.620
8.532 38.707 -65.138 7.306 213.757 0.826
8.631 32.306 -32.493 10.478 214.756 10.985
8.730 35.433 -56.328 5.337 226.032 7.234
8.829 37.563 -53.205 1.871 232.881 8.370
8.928 24.497 -44.681 -7.121 234.929 -1.825
9.027 37.650 -43.872 -13.237 225.032 1.888
9.126 29.201 -30.143 -0.688 242.857 26.025
9.225 36.663 -58.367 -17.359 226.579 8.038
9.324 30.176 -53.836 -11.168 234.438 11.906
9.423 29.265 -27.498 -13.016 216.763 0.723
9.523 45.969 -42.535 15.024 221.237 -18.328
9.622 33.827 -53.616 6.645 234.280 -5.895
9.721 41.704 -69.228 -1.929 230.477 23.427
9.820 46.952 -51.502 9.965 246.002 -0.540
9.919 40.402 -49.402 -6.305 238.671 1.160
10.018 39.657 -58.389 14.333 224.018 6.874
10.117 47.887 -59.252 8.571 236.607 19.184
10.216 50.670 -38.449 22.594 246.623 16.545
10.315 43.760 -61.439 -4.174 230.053 15.326
10.414 39.216 -50.069 10.934 226.246 12.149
10.514 35.990 -51.377 8.712 259.098 -2.710
10.613 32.418 -74.665 -11.344 253.822 -4.117
10.712 52.956 -49.158 -7.713 237.652 -12.284
10.811 58.931 -63.495 9.260 244.670 -5.540
10.910 41.335 -59.750 16.143 238.292 2.693
11.009 43.383 -58.228 -1.063 235.930 -9.145
11.108 50.412 -52.035 6.128 242.584 -6.240
11.207 52.146 -64.405 -11.245 249.252 2.929
11.306 34.728 -49.509 -12.914 249.013 1.918
11.405 34.802 -45.686 -5.869 248.414 12.996
11.505 52.582 -59.532 -11.207 255.528 -6.288
11.604 56.183 -39.618 -9.618 236.626 -2.341
11.703 41.450 -64.214 -7.457 265.053 -4.138
11.802 55.683 -42.899 -22.511 260.725 1.481
11.901 67.140 -67.092 -1.470 257.926 5.930
12.000 49.395 -29.707 5.006 244.079 -13.174
12.099 34.826 -60.077 0.952 257.942 8.814
12.198 54.258 -67.128 -6.590 262.526 16.430
12.297 31.557 -54.523 -6.249 266.841 17.149
12.396 44.248 -58.558 5.391 246.620 6.066
12.495 54.721 -52.120 -4.029 257.721 10.535
12.595 74.144 -69.687 8.931 273.391 17.607
12.694 40.857 -31.249 0.474 253.748 17.453
12.793 53.902 -57.410 -16.427 251.591 -22.698
12.892 44.943 -47.757 4.668 265.923 6.481
12.991 55.550 -68.628 -11.048 258.608 19.325
13.090 63.048 -54.928 -11.827 263.062 2.754
13.189 54.406 -69.283 4.465 265.018 1.946
13.288 45.740 -54.979 2.171 247.612 6.044
13.387 69.043 -56.025 3.825 252.572 20.303
13.486 56.434 -69.409 0.183 262.780 12.704
13.586 60.516 -64.186 -0.569 271.817 31.760
13.685 58.967 -53.532 -19.359 267.624 10.878
13.784 49.215 -79.761 -6.330 242.492 4.421
13.883 62.326 -67.646 20.102 275.308 -11.003
13.982 60.120 -68.342 2.056 256.979 0.959
14.081 40.631 -84.132 -0.565 265.450 -0.633
14.180 68.747 -65.545 -2.640 265.682 -6.245
14.279 69.907 -74.835 -5.540 252.431 6.337
14.378 65.568 -58.251 12.556 270.075 -2.944
14.477 65.357 -59.608 8.725 292.676 0.284
14.577 47.863 -55.712 9.269 280.378 5.106
14.676 64.348 -65.980 1.477 260.749 13.285
14.775 69.493 -62.637 -5.585 269.299 39.169
14.874 73.830 -61.849 1.383 293.245 -4.917
14.973 46.903 -74.216 5.833 277.553 -11.005
15.072 57.148 -61.774 -8.869 257.991 -1.975
15.171 59.979 -60.934 -5.715 267.607 -3.255
15.270 57.686 -59.677 -6.137 280.670 7.463
15.369 76.724 -68.887 4.476 254.695 7.612
15.468 51.498 -63.624 11.570 289.304 11.568
15.568 68.930 -48.948 1.723 293.222 16.711
15.667 66.712 -59.310 0.631 265.876 3.295
15.766 76.450 -66.321 -8.586 288.561 0.941
15.865 59.609 -57.093 2.159 282.574 -2.305
15.964 69.129 -63.746 6.048 277.691 -9.826
16.063 75.265 -75.287 15.561 277.027 3.629
16.162 70.002 -60.090 -0.424 273.008 7.453
16.261 82.525 -68.200 -0.046 281.580 20.277
16.360 72.158 -71.495 -8.924 298.171 -5.605
16.459 85.692 -67.328 13.458 278.744 14.090
16.559 66.186 -58.560 12.944 294.753 24.999
16.658 78.686 -74.814 -8.531 301.902 14.355
16.757 62.975 -66.768 -4.224 298.864 11.322
16.856 63.193 -67.249 22.332 284.035 -5.068
16.955 58.842 -61.649 -13.267 287.773 2.384
17.054 70.758 -75.468 16.975 284.007 16.188
17.153 77.970 -63.615 12.626 278.277 15.895
17.252 76.834 -66.198 -9.216 272.786 4.212
17.351 74.812 -56.398 6.958 280.316 -6.269
17.450 63.868 -83.209 -14.019 303.693 0.513
17.550 81.803 -75.850 -11.896 292.087 7.361
17.649 92.194 -73.160 -5.289 304.886 17.509
17.748 83.246 -75.070 8.035 297.786 17.756
17.847 80.191 -57.847 0.786 286.942 0.850
17.946 92.264 -59.534 17.235 282.644 10.162
18.045 80.566 -58.524 1.588 295.822 10.748
18.144 101.170 -69.105 8.784 295.247 7.959
18.243 91.119 -62.297 4.602 304.477 20.703
18.342 92.092 -69.245 3.573 291.595 11.188
18.441 64.531 -70.959 20.532 284.576 5.099
18.541 74.258 -71.602 17.017 307.401 3.359
18.640 74.028 -59.632 -3.322 297.756 8.935
18.739 85.671 -60.575 -6.003 309.129 14.355
18.838 74.904 -66.222 1.519 296.136 0.840
18.937 99.624 -80.729 8.874 303.913 1.594
19.036 82.359 -74.186 3.479 301.180 -4.344
19.135 97.273 -74.516 20.259 293.985 -12.380
19.234 83.029 -76.395 23.297 295.340 8.511
19.333 89.327 -69.568 -0.831 287.901 -4.950
19.432 87.629 -71.235 0.969 311.125 10.535
19.532 94.560 -68.985 5.379 300.801 12.882
19.631 80.784 -64.309 10.913 315.859 4.966
19.730 87.607 -65.742 -15.278 295.926 6.740
19.829 79.426 -70.099 -4.926 313.441 1.938
19.928 77.887 -80.858 18.362 304.154 12.191
20.027 79.782 -82.387 4.932 311.694 -0.253
20.126 103.414 -70.168 -13.548 323.882 5.450
20.225 108.156 -84.938 -0.347 298.997 4.991
20.324 83.262 -75.737 3.858 311.009 12.657
20.423 81.790 -74.330 7.787 311.039 11.208
20.523 93.249 -73.525 4.593 295.126 -2.457
20.622 98.538 -71.333 0.271 296.605 26.839
20.721 96.147 -77.398 10.169 293.533 15.094
20.820 104.993 -68.756 3.275 312.970 -4.636
20.919 95.568 -93.029 -8.116 295.277 -0.436
21.018 115.453 -62.227 -15.422 310.002 2.945
21.117 95.585 -79.378 -17.483 301.512 8.359
21.216 88.648 -79.133 -5.118 286.848 0.405
21.315 99.132 -78.182 6.269 324.980 19.717
21.414 93.394 -59.830 18.700 303.092 8.284
21.514 99.602 -80.532 12.548 300.741 -3.083
21.613 119.426 -62.937 9.338 302.710 9.978
21.712 103.703 -73.865 12.279 333.471 18.681
21.811 98.839 -64.716 13.561 309.597 19.078
21.910 107.202 -90.711 24.805 328.362 7.153
22.009 86.666 -68.169 5.896 317.535 -10.322
22.108 95.186 -55.346 2.903 309.971 -2.360
22.207 110.916 -75.375 5.757 330.597 -15.245
22.306 83.718 -66.967 20.254 306.023 11.057
22.405 85.692 -81.080 16.076 323.690 17.370
22.505 114.990 -85.365 9.715 322.626 9.210
22.604 94.148 -49.628 6.837 312.770 1.952
22.703 97.516 -76.290 -4.785 323.970 0.583
22.802 94.286 -77.031 -12.207 316.522 12.134
22.901 96.223 -77.811 -12.747 319.103 15.182
23.000 93.398 -68.865 4.468 311.448 20.461
23.099 101.322 -68.928 -4.027 320.153 12.244
23.198 117.508 -78.057 -7.866 328.998 -8.005
23.297 117.300 -58.128 0.125 324.228 17.900
23.396 113.806 -73.997 15.757 322.786 3.601
23.495 106.968 -79.966 0.343 323.585 23.787
23.595 107.333 -77.270 19.617 328.381 -0.779
23.694 113.826 -88.939 8.637 339.516 15.755
23.793 120.066 -83.367 -4.966 302.647 10.863
23.892 84.643 -86.560 -2.776 349.976 3.197
23.991 107.848 -86.428 -4.360 321.419 8.962
24.090 104.951 -83.304 -5.179 326.736 -4.915
24.189 127.152 -76.285 9.472 339.583 4.111
24.288 114.259 -66.704 26.916 339.768 1.475
24.387 106.998 -59.794 5.319 339.993 14.250
24.486 103.380 -78.500 41.747 345.442 0.500
24.586 98.213 -86.668 28.312 319.232 -13.052
24.685 114.454 -73.618 23.471 331.931 1.354
24.784 111.289 -78.683 19.803 310.125 3.063
24.883 123.779 -78.793 17.456 343.754 14.606
24.982 123.667 -77.289 14.645 343.850 6.394
25.081 116.976 -77.903 1.382 338.638 0.930
25.180 113.138 -71.784 22.207 338.254 -4.649
25.279 112.350 -85.316 9.433 330.732 22.471
25.378 109.995 -67.726 29.559 332.739 13.781
25.477 112.770 -89.551 7.623 352.732 31.606
25.577 119.582 -72.700 -2.117 330.682 6.514
25.676 102.693 -72.904 24.083 335.906 3.312
25.775 115.650 -96.375 12.418 311.602 7.808
25.874 116.700 -69.656 26.826 325.791 20.202
25.973 104.408 -96.771 34.392 329.762 2.581
26.072 127.766 -81.524 26.707 321.569 15.528
26.171 120.232 -71.900 25.922 326.524 23.075
26.270 121.132 -76.995 13.652 338.713 -1.712
26.369 145.883 -70.230 11.775 348.706 16.912
26.468 136.593 -66.482 37.185 350.459 15.567
26.568 113.660 -69.001 34.674 338.166 -7.297
26.667 146.944 -70.238 3.633 345.321 10.375
26.766 109.982 -64.974 0.399 345.536 8.276
26.865 115.597 -83.477 34.679 359.514 10.862
26.964 115.978 -83.941 13.296 333.201 1.836
27.063 123.630 -80.854 25.903 330.623 16.581
27.162 123.323 -80.489 10.040 332.327 16.615
27.261 142.160 -76.983 16.894 349.615 13.688
27.360 117.244 -54.295 44.610 336.283 11.298
27.459 125.612 -61.023 10.366 319.113 2.498
27.559 122.410 -57.526 31.344 330.489 7.079
27.658 135.475 -76.773 23.304 347.639 9.847
27.757 130.396 -86.245 30.678 336.757 -1.202
27.856 121.227 -76.761 33.272 345.415 2.648
27.955 125.203 -49.628 21.262 354.682 3.399
28.054 128.429 -72.432 31.293 314.222 8.263
28.153 138.193 -55.303 29.446 346.014 3.514
28.252 142.368 -84.224 31.013 337.260 11.555
28.351 135.064 -67.176 21.370 336.877 11.283
28.450 132.436 -80.910 54.425 318.772 -10.351
28.550 114.171 -62.369 30.247 326.497 18.745
28.649 119.935 -74.523 40.062 316.128 7.340
28.748 135.682 -81.195 25.984 327.027 3.998
28.847 133.644 -63.797 27.716 350.381 6.929
28.946 149.729 -90.270 17.994 352.591 6.384
29.045 121.958 -81.092 31.131 325.780 12.955
29.144 121.516 -86.641 24.482 340.220 3.178
29.243 138.924 -78.114 43.174 343.493 16.723
29.342 141.007 -57.347 18.767 321.462 2.211
29.441 122.569 -76.882 32.419 347.615 13.283
29.541 136.209 -71.304 25.604 356.354 8.036
29.640 138.329 -74.234 60.398 342.673 14.191
29.739 130.664 -66.760 35.823 340.528 10.658
29.838 138.451 -66.970 30.483 347.594 16.551
29.937 153.022 -85.678 28.045 351.324 3.754
30.036 148.606 -61.459 30.738 350.923 13.845
30.135 149.335 -50.087 38.229 333.250 10.555
30.234 143.233 -94.311 31.830 336.144 4.898
30.333 155.023 -66.829 36.544 355.442 -2.804
30.432 130.545 -86.105 19.750 339.658 1.262
30.532 139.960 -82.148 49.247 346.627 3.995
30.631 154.281 -68.527 35.152 346.514 9.021
30.730 141.000 -78.916 48.976 347.797 18.216
30.829 142.357 -70.456 58.968 349.112 2.996
30.928 158.036 -74.030 49.507 350.966 12.064
31.027 154.482 -75.390 62.829 351.536 -0.860
31.126 139.171 -74.026 47.211 346.775 -4.253
31.225 133.077 -81.598 57.697 348.789 5.273
31.324 152.491 -81.234 57.139 346.408 -8.864
31.423 146.670 -76.730 56.820 359.658 12.611
31.523 163.102 -80.311 49.980 352.967 22.357
31.622 146.672 -70.107 47.800 367.748 28.122
31.721 159.823 -72.840 56.700 358.665 4.718
31.820 146.428 -75.767 60.133 354.820 9.027
31.919 159.718 -69.412 70.424 352.643 25.271
32.018 151.942 -76.604 71.186 358.567 12.461
32.117 159.081 -65.811 61.339 344.048 13.695
32.216 166.660 -68.244 65.413 349.328 20.940
32.315 161.163 -64.313 57.594 351.264 12.781
32.414 147.992 -77.098 48.350 346.997 -9.016
32.514 147.609 -83.619 88.992 354.544 9.864
32.613 158.810 -64.882 54.839 350.997 7.675
32.712 150.013 -77.057 97.775 358.108 16.144
32.811 155.490 -46.443 52.342 355.114 13.672
32.910 136.067 -86.273 79.882 335.583 5.549
33.009 149.571 -72.124 73.471 351.772 7.893
33.108 149.157 -63.632 82.975 344.317 23.487
33.207 157.169 -57.006 75.855 371.759 6.086
33.306 143.296 -84.693 74.759 372.525 2.262
33.405 171.932 -69.472 53.214 354.770 8.933
33.505 158.852 -71.132 68.754 344.602 3.428
33.604 164.881 -72.528 73.356 353.365 16.363
33.703 155.291 -64.090 78.495 356.606 6.311
33.802 169.971 -65.435 65.396 364.741 2.879
33.901 154.709 -76.062 86.449 357.623 17.936
34.000 157.766 -64.334 82.386 348.647 8.539
34.099 158.197 -71.639 100.293 355.866 24.571
34.198 154.933 -88.317 83.374 360.230 -11.852
34.297 150.722 -62.253 77.911 351.485 28.842
34.396 159.992 -76.368 92.917 365.379 11.161
34.495 167.551 -70.179 89.990 349.620 13.754
34.595 176.836 -61.159 96.075 358.443 15.263
34.694 179.118 -58.341 109.691 358.781 -2.074
34.793 166.060 -71.232 104.289 351.748 -6.636
34.892 159.847 -63.277 100.824 364.719 18.012
34.991 162.405 -58.431 82.446 378.443 11.055
35.090 155.030 -77.618 98.747 381.707 19.779
35.189 163.774 -67.297 103.971 372.722 2.555
35.288 158.461 -77.951 115.662 343.319 2.890
35.387 160.330 -86.432 102.448 363.880 24.006
35.486 167.908 -74.010 106.550 355.505 -1.535
35.586 172.551 -63.795 101.143 346.259 13.023
35.685 185.574 -51.157 118.577 348.647 20.422
35.784 160.261 -55.621 108.585 359.793 0.689
35.883 189.523 -54.776 107.282 361.233 17.374
35.982 184.526 -76.578 106.492 354.937 4.104
36.081 184.438 -80.760 113.431 374.374 10.852
36.180 170.543 -78.592 125.151 354.466 36.396
36.279 160.342 -65.389 118.407 380.499 13.204
36.378 182.349 -74.683 127.047 358.937 0.443
36.477 164.752 -49.146 103.178 361.077 29.896
36.577 172.540 -84.362 113.445 369.293 14.294
36.676 181.749 -71.213 116.954 389.335 17.195
36.775 171.395 -55.684 140.541 358.162 14.340
36.874 169.958 -76.102 110.939 369.256 1.974
36.973 176.889 -30.382 123.130 362.501 24.001
37.072 169.370 -47.452 121.261 369.990 2.795
37.171 165.243 -85.319 110.866 378.118 19.089
37.270 196.430 -66.141 145.355 367.916 10.284
37.369 184.947 -57.853 122.392 374.109 -3.006
37.468 171.307 -60.588 131.678 368.445 2.042
37.568 187.003 -52.871 143.056 377.705 14.889
37.667 174.449 -68.059 137.296 380.021 14.661
37.766 190.625 -72.744 145.141 371.195 8.844
37.865 178.128 -65.488 142.907 370.020 7.411
37.964 171.143 -92.117 154.850 375.751 12.345
38.063 181.984 -75.115 142.177 377.682 16.906
38.162 170.839 -42.650 150.297 374.845 7.786
38.261 180.021 -56.520 141.010 364.948 21.988
38.360 189.848 -58.379 156.507 371.721 14.141
38.459 189.059 -79.099 165.671 374.632 20.346
38.559 176.856 -63.463 143.822 370.767 13.377
38.658 168.100 -55.758 164.361 367.339 -3.173
38.757 198.725 -62.868 163.346 369.232 22.377
38.856 198.001 -46.417 175.306 360.156 6.927
38.955 169.986 -61.582 169.242 373.657 15.070
39.054 195.050 -82.507 177.982 373.473 -1.611
39.153 187.187 -61.910 167.128 385.204 21.591
39.252 192.869 -57.967 175.083 367.587 4.789
39.351 200.055 -54.709 156.615 379.696 19.854
39.450 185.920 -71.080 167.364 381.566 5.514
39.550 177.483 -61.132 165.086 379.513 -4.550
39.649 204.761 -58.419 171.394 388.621 27.706
39.748 183.652 -65.173 202.864 372.409 16.617
39.847 188.678 -69.499 179.619 375.024 13.117
39.946 200.625 -52.704 182.746 369.216 25.017
40.045 195.187 -75.158 173.288 381.275 14.342
40.144 174.467 -52.722 206.613 386.270 19.260
40.243 192.797 -58.693 197.903 357.903 34.259
40.342 194.160 -41.947 177.813 366.782 1.870
40.441 176.092 -76.076 201.205 377.920 21.838
40.541 202.489 -42.152 209.156 370.434 13.432
40.640 203.718 -67.682 199.142 369.772 18.195
40.739 193.005 -44.083 196.265 354.331 23.957
40.838 188.282 -68.913 172.513 387.843 4.474
40.937 197.572 -58.335 193.503 363.638 16.534
41.036 206.320 -63.540 190.359 369.558 17.222
41.135 200.650 -47.406 192.366 366.001 13.899
41.234 185.030 -72.154 213.331 372.980 8.667
41.333 187.791 -65.449 207.549 382.347 3.433
41.432 176.240 -69.699 212.539 367.887 13.210
41.532 218.838 -48.965 221.491 354.911 31.335
41.631 186.141 -58.160 210.114 375.073 22.179
41.730 203.893 -68.541 215.266 365.430 -1.744
41.829 203.162 -56.105 211.676 395.115 25.057
41.928 193.451 -45.520 206.926 373.209 25.134
42.027 202.924 -36.361 200.631 387.914 16.096
42.126 196.121 -53.561 207.537 376.174 26.044
42.225 187.034 -81.968 202.061 382.803 3.943
42.324 198.564 -48.002 226.830 393.635 5.555
42.423 196.027 -52.470 220.500 363.751 16.211
42.523 208.081 -41.985 234.088 386.744 15.424
42.622 211.278 -54.769 236.454 374.431 13.254
42.721 198.115 -38.355 228.650 375.813 8.396
42.820 217.662 -57.026 224.573 360.693 16.398
42.919 199.471 -59.463 241.671 384.912 23.926
43.018 206.987 -41.339 227.787 361.972 17.476
43.117 193.295 -65.812 251.589 384.103 21.044
43.216 207.622 -73.700 248.610 376.187 17.865
43.315 208.457 -41.444 254.580 396.025 14.283
43.414 222.556 -52.039 256.221 398.634 38.625
43.514 215.448 -42.610 249.433 378.118 18.098
43.613 217.362 -63.690 230.521 376.241 26.402
43.712 215.058 -42.115 229.419 388.224 16.146
43.811 196.287 -53.752 241.037 377.331 12.199
43.910 208.285 -39.482 249.359 405.098 33.066
44.009 215.159 -49.509 265.319 382.407 10.671
44.108 211.827 -58.028 248.210 383.494 19.078
44.207 212.241 -46.803 254.267 379.605 18.585
44.306 218.868 -54.617 260.204 369.404 6.887
44.405 218.470 -47.737 272.134 378.509 -0.487
44.505 215.668 -58.214 262.398 394.941 19.736
44.604 222.248 -48.912 260.464 372.399 24.119
44.703 214.476 -38.267 258.572 402.611 22.423
44.802 221.801 -37.500 247.459 392.533 12.904
44.901 194.659 -45.116 270.763 376.416 8.151
45.000 203.739 -32.984 271.697 394.137 24.116
45.099 212.094 -32.362 263.700 382.811 28.283
45.198 215.815 -52.317 271.687 369.927 26.535
45.297 226.286 -31.336 274.773 379.521 18.933
45.396 211.498 -67.926 268.987 394.501 13.906
45.495 249.484 -40.086 271.316 396.820 4.341
45.595 221.178 -46.394 288.618 404.567 6.032
45.694 231.628 -25.262 270.612 390.176 21.290
45.793 218.976 -41.771 271.374 394.669 18.154
45.892 213.176 -32.120 259.292 402.467 25.235
45.991 214.494 -60.177 270.104 396.113 18.045
46.090 202.295 -23.698 289.381 395.665 10.321
46.189 223.069 -59.626 290.441 387.393 28.394
46.288 216.658 -33.916 288.211 381.226 26.327
46.387 214.222 -46.344 278.425 393.029 44.964
46.486 216.521 -29.867 295.190 386.360 15.554
46.586 223.151 -63.323 290.658 391.285 29.099
46.685 217.612 -32.928 295.809 396.240 23.024
46.784 211.102 -34.380 286.502 386.946 -2.358
46.883 235.839 -36.638 282.912 386.050 28.254
46.982 239.967 -40.782 294.363 391.219 8.721
47.081 223.282 -25.604 288.154 397.117 17.879
47.180 237.805 -40.134 295.016 398.900 5.647
47.279 220.331 -49.277 283.424 396.602 26.278
47.378 225.233 -22.368 283.409 392.013 32.175
47.477 227.607 -38.013 299.595 408.344 8.523
47.577 227.373 -32.576 288.923 380.993 18.007
47.676 213.846 -27.396 293.026 388.714 20.093
47.775 230.513 -34.563 288.851 385.195 19.294
47.874 238.866 -31.618 286.875 390.860 24.656
47.973 227.468 -33.540 298.601 376.570 24.304
48.072 214.075 -14.621 309.903 379.722 13.909
48.171 222.172 -30.222 299.597 388.460 26.375
48.270 224.661 -43.166 290.776 384.649 8.984
48.369 236.294 -21.385 306.798 394.198 -4.875
48.468 226.183 -32.329 305.688 407.086 16.596
48.568 234.028 -37.368 302.810 401.328 28.028
48.667 232.308 -31.802 290.241 391.184 39.204
48.766 245.769 -34.350 303.310 399.137 10.892
48.865 234.144 -36.504 275.387 389.953 25.933
48.964 251.099 -18.611 282.238 389.181 34.435
49.063 225.699 -10.899 294.505 388.804 22.161
49.162 245.250 -29.637 298.256 395.865 24.666
49.261 236.998 -8.407 294.411 392.633 11.588
49.360 236.729 -31.410 298.147 396.321 34.833
49.459 252.182 -29.399 303.338 380.623 12.549
49.559 219.267 -36.169 306.549 383.665 26.935
49.658 244.035 -38.011 303.147 394.419 8.226
49.757 231.486 -29.558 315.252 404.121 17.152
49.856 222.185 -34.935 297.850 387.157 25.465
49.955 229.740 -34.505 300.279 388.699 17.874
50.054 243.634 -40.885 301.249 408.549 21.903
50.153 242.838 -33.025 295.454 405.945 12.526
50.252 233.680 -27.646 293.926 421.079 28.014
50.351 233.811 -11.066 320.655 386.418 8.842
50.450 245.615 -27.453 301.379 411.386 27.866
50.550 244.903 -1.411 300.815 396.450 25.997
50.649 241.539 -10.528 283.658 385.241 14.832
50.748 245.393 -6.714 291.499 402.570 26.497
50.847 234.421 -25.121 291.782 402.782 9.673
50.946 246.850 -26.465 293.719 383.801 50.697
51.045 250.334 -24.326 307.661 397.878 38.402
51.144 257.355 -15.591 294.654 380.481 10.025
51.243 252.229 -26.285 299.508 411.414 30.512
51.342 239.270 -30.124 296.636 389.437 38.570
51.441 245.511 -27.166 287.359 409.171 35.810
51.541 237.437 -22.098 297.837 394.687 34.964
51.640 243.216 -5.071 290.809 394.316 21.107
51.739 269.536 -33.317 310.139 402.935 33.225
51.838 260.739 -8.719 288.596 379.536 32.361
51.937 254.711 -24.486 296.498 417.330 24.142
52.036 258.191 -15.638 301.587 415.826 32.617
52.135 239.304 -13.761 305.659 388.043 20.356
52.234 235.022 -28.023 295.407 417.115 22.524
52.333 260.369 -6.692 282.181 409.164 37.755
52.432 264.912 -6.668 294.465 398.717 38.973
52.532 242.302 -18.504 294.789 429.289 43.501
52.631 258.021 -13.130 269.815 387.107 4.309
52.730 255.511 -18.673 277.052 403.949 47.826
52.829 246.266 -18.538 291.502 404.216 16.009
52.928 257.028 -13.434 294.279 401.958 -14.703
53.027 251.949 -9.800 281.027 406.003 6.070
53.126 256.535 -18.147 300.113 393.979 22.132
53.225 252.474 -18.454 304.206 404.360 35.428
53.324 260.034 -14.405 281.320 412.263 29.728
53.423 268.132 -10.611 288.463 412.525 38.269
53.523 259.690 -22.543 287.585 400.099 27.983
53.622 259.971 -4.470 279.074 405.161 26.240
53.721 260.765 5.449 282.908 409.213 25.276
53.820 257.462 -0.243 284.261 403.440 26.121
53.919 265.245 -5.824 279.197 409.519 26.450
54.018 241.028 12.645 274.602 375.322 45.363
54.117 257.884 3.943 267.428 423.845 31.133
54.216 243.262 -0.218 276.434 399.554 33.936
54.315 267.057 8.302 276.784 408.143 29.150
54.414 257.444 -1.040 265.449 417.999 16.227
54.514 273.209 26.359 258.362 399.137 15.747
54.613 262.878 -2.246 260.307 411.388 22.505
54.712 262.334 -10.290 274.061 400.734 34.348
54.811 269.274 5.859 270.607 397.616 25.574
54.910 273.184 -1.043 256.185 422.850 26.887
55.009 270.198 -23.310 263.258 414.254 7.636
55.108 251.725 -9.159 264.259 405.718 34.206
55.207 252.706 -1.153 267.547 407.655 34.005
